ts,cpu,mem_used_mb,mem_limit_mb
1772410893,100.40%,158.20,1024.00
1772410896,100.39%,158.30,1024.00
1772410898,100.39%,158.20,1024.00
1772410901,100.11%,158.30,1024.00
1772410904,99.15%,158.30,1024.00
1772410906,100.38%,158.20,1024.00
1772410909,100.52%,158.50,1024.00
1772410911,100.34%,158.40,1024.00
1772410914,100.10%,158.40,1024.00
1772410916,100.10%,158.50,1024.00
1772410919,100.29%,158.50,1024.00
1772410922,100.39%,158.50,1024.00
1772410924,100.28%,158.50,1024.00
1772410927,100.53%,158.60,1024.00
1772410929,100.63%,158.80,1024.00
1772410932,100.55%,158.60,1024.00
1772410934,100.91%,158.60,1024.00
1772410937,0.00%,0.00,0.00
